Year	Sector	Reporting Legal Name	Facility Name	CO2 (tonnes CO2 eq)	CH4 (tonnes CO2 eq)	N2O (tonnes CO2 eq)	HFC (tonnes CO2 eq)	PFC (tonnes CO2 eq)	SF6 (tonnes CO2 eq)	Total (tonnes CO2 eq)
2010	Oil Sands In Situ Extraction	TransCanada Energy Ltd.	MacKay River Power Plant	858469	1441	6549	0	0	0	866459
2010	Oil Sands In Situ Extraction	Suncor Energy Oil Sands Limited Partnership	"MacKay River, In-Situ Oil Sands Plant"	143568	628	776	0	0	0	144972
2010	Oil Sands In Situ Extraction	Shell Canada Limited	Peace River Complex	312161	3717	46	0	0	0	315924
2010	Oil Sands In Situ Extraction	Canadian Natural Resources Limited	Wolf Lake and Primrose Plant	2975872	107246	18732	0	0	0	3101851
2010	Oil Sands In Situ Extraction	Nexen Inc.	Long Lake Project	3242914	11528	13762	0	0	0	3268204
2010	Oil Sands In Situ Extraction	Husky Oil Operations Limited	Tucker Thermal	275427	166	492	0	0	0	276084
2010	Oil Sands In Situ Extraction	Connacher Oil and Gas Limited	Pod One	190842	807	280	0	0	0	191930
2010	Oil Sands In Situ Extraction	Devon Canada Corporation	Jackfish SAGD Plant	534389	4794	944	0	0	0	540128
2010	Oil Sands In Situ Extraction	Shell Canada Limited	Orion Complex	137106	420	1	0	0	0	137528
2010	Oil Sands In Situ Extraction	ConocoPhillips Canada Resources Corp.	Surmont SAGD Commercial Battery	447261	745	748	0	0	0	448754
2010	Oil Sands In Situ Extraction	"Cenovus FCCL Ltd., as operator for FCCL Partnership"	Foster Creek SAGD Bitumen Battery (with Cogen)	1973454	3574	7781	0	0	0	1984809
2010	Oil Sands In Situ Extraction	MEG Energy Corp.	MEG Christina Lake Regional Project	164163	1520	804	0	0	0	166488
2010	Oil Sands In Situ Extraction	Suncor Energy Oil Sands Limited Partnership	Firebag	1558347	1966	7889	0	0	0	1568203
2010	Oil Sands In Situ Extraction	Connacher Oil and Gas Limited	Algar	117790	130	265	0	0	0	118184
2010	Oil Sands In Situ Extraction	MEG Energy Corp.	MEG Christina Lake Cogeneration Facility Phase 2	527716	250	2656	0	0	0	530621
2010	Oil Sands In Situ Extraction	Statoil Canada Ltd.	Leismer SAGD Bitumen Battery	52769	270	110	0	0	0	53149
2010	Oil Sands Mining and Upgrading	Syncrude Canada Ltd.	Mildred Lake and Aurora North Plant Sites	11893517	746917	179725	0	0	0	12820159
2010	Oil Sands Mining and Upgrading	ATCO Power Canada Ltd.	Muskeg River Cogeneration Plant	1060623	1607	6462	0	0	0	1068692
2010	Oil Sands Mining and Upgrading	Shell Canada Energy	Shell Albian Sands Muskeg River Mine and Jackpine Mine	817929	53135	6489	0	0	0	877553
2010	Oil Sands Mining and Upgrading	Shell Canada Energy Limited	Scotford Upgrader and Upgrader Cogeneration	1775188	12837	10063	0	0	0	1798088
2010	Oil Sands Mining and Upgrading	Canadian Natural Resources Limited	Horizon Oil Sands Processing Plant and Mine	2684003	349456	9896	0	0	164	3043518
2010	Oil Sands Mining and Upgrading	Suncor Energy Oil Sands Limited Partnership	Suncor Energy Inc. Oil Sands	8048768	392509	169577	0	0	0	8610854
2010	Oil Sands Mining and Upgrading	Shell Canada Energy	Shell Albiansands Muskeg River Mine Expansion	117258	55	601	0	0	0	117915
2010	Petroleum and Coal Products Manufacturing	Suncor Energy Inc.	Edmonton Refinery	1309572	7043	6370	0	0	0	1322985
2010	Petroleum and Coal Products Manufacturing	Shell Canada Products	Shell Scotford Refinery	1028186	13338	2327	0	0	0	1043852
2010	Petroleum and Coal Products Manufacturing	Imperial Oil	Strathcona Refinery	1475757	2335	8355	0	0	0	1486446
2010	Petroleum and Coal Products Manufacturing	Rio Tinto Alcan	Strathcona Works	80558	1	10	0	0	0	80568
